iter	Accuracy	Logloss
94	0.8857644991	0.317053677
95	0.8857644991	0.3166756921
96	0.8857644991	0.3153666856
97	0.8857644991	0.3149290827
98	0.8857644991	0.3147545376
99	0.8857644991	0.3146153408
100	0.8875219684	0.313120278
101	0.8875219684	0.3128825119
102	0.8875219684	0.3127200179
103	0.8857644991	0.3122226999
104	0.8840070299	0.3107172721
105	0.8857644991	0.3102509475
106	0.8857644991	0.309418778
107	0.8840070299	0.3080993623
108	0.8840070299	0.3072670693
109	0.8875219684	0.3058797031
110	0.8857644991	0.304489739
111	0.8875219684	0.3039855665
112	0.8892794376	0.3029740287
113	0.8892794376	0.3029126507
114	0.8892794376	0.3025015908
115	0.8892794376	0.3013329064
116	0.8892794376	0.3008631191
117	0.8910369069	0.2991534188
118	0.8910369069	0.2991321128
119	0.8910369069	0.2985572867
120	0.8910369069	0.2977170348
121	0.8910369069	0.2972312444
122	0.8910369069	0.2970419891
123	0.8910369069	0.296374806
124	0.8910369069	0.2963262697
125	0.8910369069	0.2962417417
126	0.8910369069	0.2960050425
127	0.8927943761	0.2950503019
128	0.8927943761	0.2944661333
129	0.8927943761	0.2943277446
130	0.8927943761	0.2923934529
131	0.8927943761	0.2922022762
132	0.8945518453	0.2908524946
133	0.8945518453	0.2895234061
134	0.8945518453	0.2895082533
135	0.8927943761	0.2892023925
136	0.8963093146	0.2882146617
137	0.8945518453	0.2875051931
138	0.8963093146	0.286648141
139	0.8963093146	0.2855173092
140	0.8980667838	0.2852973204
141	0.8980667838	0.2844803976
142	0.8980667838	0.2836053887
143	0.8945518453	0.2826410946
144	0.8945518453	0.282223426
145	0.8945518453	0.282014284
146	0.8998242531	0.2808206209
147	0.8998242531	0.2807411351
148	0.9015817223	0.2804496919
149	0.9033391916	0.2800169658
150	0.9033391916	0.2798203308
151	0.9068541301	0.2783587677
152	0.9068541301	0.2779873028
153	0.9068541301	0.2769298541
154	0.9086115993	0.276116085
155	0.9068541301	0.2759193259
156	0.9086115993	0.2754760999
157	0.9086115993	0.2747103886
158	0.9086115993	0.2743298478
159	0.9121265378	0.2723672083
160	0.9121265378	0.2721260021
161	0.9121265378	0.2720495098
162	0.9121265378	0.2709681523
163	0.9121265378	0.2698339836
164	0.9121265378	0.2685098299
165	0.9156414763	0.2679173234
166	0.913884007	0.2676972851
167	0.9156414763	0.2667015074
168	0.9156414763	0.2662565987
169	0.9156414763	0.2661129348
170	0.9156414763	0.2654134793
171	0.913884007	0.264568063
172	0.9156414763	0.2642171973
173	0.9156414763	0.2641477513
174	0.9156414763	0.2636440425
175	0.9156414763	0.2633616007
176	0.9156414763	0.2623916955
177	0.9156414763	0.2623580471
178	0.9156414763	0.2614239661
179	0.913884007	0.2611876611
180	0.913884007	0.2609705968
181	0.913884007	0.2594741405
182	0.9156414763	0.2593473176
183	0.9156414763	0.2591866042
184	0.9156414763	0.259121351
185	0.9173989455	0.2583055873
186	0.9173989455	0.2580046228
187	0.9173989455	0.2574579959
188	0.9173989455	0.2570166185
189	0.9191564148	0.2557364269
190	0.9191564148	0.2549638161
191	0.9191564148	0.2544777179
192	0.9191564148	0.2542534644
193	0.9191564148	0.2539586548
194	0.9191564148	0.2531240295
195	0.9191564148	0.252783958
196	0.9191564148	0.2520992602
197	0.9191564148	0.2516953373
198	0.920913884	0.2510792509
199	0.9226713533	0.2505507487
200	0.9226713533	0.2497472477
201	0.9226713533	0.2491395982
202	0.9226713533	0.2490838647
203	0.9226713533	0.2484886339
204	0.9226713533	0.2472273943
205	0.9226713533	0.2471704365
206	0.9226713533	0.2471205215
207	0.9226713533	0.2467628555
208	0.9226713533	0.2447831781
209	0.9226713533	0.2441699299
210	0.9244288225	0.2432755396
211	0.9244288225	0.2430220557
212	0.9244288225	0.2427659542
213	0.9244288225	0.2424233898
214	0.9244288225	0.2421897514
215	0.9244288225	0.2419773017
216	0.9244288225	0.2412732825
217	0.9244288225	0.2404452161
218	0.9261862917	0.2399606079
219	0.9261862917	0.2395440894
220	0.9261862917	0.2385972947
221	0.9261862917	0.2380009975
222	0.9261862917	0.2373350596
223	0.9261862917	0.2365828837
224	0.9261862917	0.2365536815
225	0.9261862917	0.2364230664
226	0.9261862917	0.2353594849
227	0.927943761	0.2348041037
228	0.927943761	0.2347763396
229	0.927943761	0.2343294901
230	0.927943761	0.2342981409
231	0.927943761	0.2335648511
232	0.927943761	0.2332020847
233	0.927943761	0.2326168522
234	0.927943761	0.2318506626
235	0.927943761	0.2318221689
236	0.927943761	0.2310955656
237	0.927943761	0.2303269009
238	0.927943761	0.2294502507
239	0.927943761	0.229116558
240	0.9297012302	0.2289020662
241	0.9297012302	0.2285557991
242	0.9297012302	0.228356155
243	0.9297012302	0.2280948512
244	0.9297012302	0.2274680951
245	0.9297012302	0.2268726198
246	0.9297012302	0.2268299518
247	0.9314586995	0.2256361092
248	0.9314586995	0.2248594884
249	0.9314586995	0.2242256901
250	0.9314586995	0.2239828034
251	0.9332161687	0.2234021873
252	0.934973638	0.2228411605
253	0.934973638	0.2223313286
254	0.934973638	0.2214185584
255	0.934973638	0.2211375057
256	0.934973638	0.2205726834
257	0.9367311072	0.2201421767
258	0.9367311072	0.2188721243
259	0.9384885764	0.2184220924
260	0.9367311072	0.2182452121
261	0.9367311072	0.2178189536
262	0.9367311072	0.2170299855
263	0.9367311072	0.2168242637
264	0.9367311072	0.2160291455
265	0.9367311072	0.2158105308
266	0.9367311072	0.2152257868
267	0.9367311072	0.2150870955
268	0.9384885764	0.2139847328
269	0.9384885764	0.213868342
270	0.9384885764	0.213489812
271	0.9384885764	0.2131537423
272	0.9367311072	0.2126304584
273	0.9367311072	0.2125116467
274	0.9367311072	0.212177852
275	0.9367311072	0.2120821148
276	0.9367311072	0.2116008805
277	0.9367311072	0.2113594887
278	0.9367311072	0.2108652903
279	0.9367311072	0.2108215057
280	0.9384885764	0.2100072224
281	0.9384885764	0.2093924901
282	0.9402460457	0.2083851971
283	0.9402460457	0.2083080415
284	0.9402460457	0.2078912284
285	0.9420035149	0.207471743
286	0.9402460457	0.2070610719
287	0.9402460457	0.2069185032
288	0.9402460457	0.20640667
289	0.9402460457	0.2063107655
290	0.9402460457	0.2054322724
291	0.9420035149	0.2049063802
292	0.9437609842	0.2044061254
293	0.9455184534	0.203720532
294	0.9437609842	0.2032210692
295	0.9437609842	0.2030101501
296	0.9437609842	0.2025278697
297	0.9437609842	0.2025069852
298	0.9455184534	0.2019923129
299	0.9472759227	0.2019006365
300	0.9472759227	0.2014151279
301	0.9472759227	0.2008600656
302	0.9472759227	0.2001880997
303	0.9472759227	0.1999197438
304	0.9472759227	0.1991911964
305	0.9472759227	0.1983372926
306	0.9472759227	0.1982974635
307	0.9472759227	0.1981682363
308	0.9472759227	0.1978061694
309	0.9472759227	0.1970729006
310	0.9472759227	0.1966459701
311	0.9472759227	0.1962386765
312	0.9455184534	0.1952655735
313	0.9455184534	0.1943041754
314	0.9455184534	0.1939927481
315	0.9455184534	0.1938554325
316	0.9455184534	0.1936597724
317	0.9455184534	0.1927449723
318	0.9455184534	0.1925112252
319	0.9455184534	0.1921532795
320	0.9455184534	0.1914902387
321	0.9455184534	0.1910966738
322	0.9455184534	0.1908618252
323	0.9455184534	0.1904388142
324	0.9455184534	0.1902790228
325	0.9455184534	0.1898159703
326	0.9455184534	0.1896108306
327	0.9455184534	0.1895789805
328	0.9490333919	0.1887213387
329	0.9490333919	0.1882244191
330	0.9490333919	0.1881379345
331	0.9472759227	0.187886526
332	0.9490333919	0.1873521529
333	0.9455184534	0.1867678804
334	0.9472759227	0.1861790787
335	0.9472759227	0.1855160837
336	0.9455184534	0.185342763
337	0.9472759227	0.1850018532
338	0.9490333919	0.18434249
339	0.9490333919	0.1835462853
340	0.9490333919	0.1835145655
341	0.9490333919	0.183198159
342	0.9472759227	0.1828820033
343	0.9472759227	0.1825150762
344	0.9472759227	0.1823009775
345	0.9472759227	0.1820311568
346	0.9472759227	0.1814854315
347	0.9507908612	0.1811188289
348	0.9507908612	0.1798847614
349	0.9525483304	0.1793239034
350	0.9525483304	0.1793065451
351	0.9507908612	0.178614972
352	0.9507908612	0.1783335805
353	0.9490333919	0.1781092386
354	0.9490333919	0.1774002677
355	0.9507908612	0.176693709
356	0.9507908612	0.1766544023
357	0.9507908612	0.1766253112
358	0.9507908612	0.1765679931
359	0.9507908612	0.1763777752
360	0.9507908612	0.1763641308
361	0.9507908612	0.1760229579
362	0.9507908612	0.1753170907
363	0.9507908612	0.1752730127
364	0.9507908612	0.1752515881
365	0.9507908612	0.175056016
366	0.9507908612	0.1747167661
367	0.9507908612	0.1746171898
368	0.9507908612	0.1745872529
369	0.9507908612	0.1743825985
370	0.9507908612	0.17418596
371	0.9507908612	0.1738621639
372	0.9507908612	0.1736573549
373	0.9507908612	0.1735047792
374	0.9507908612	0.1733587137
375	0.9507908612	0.1727246131
376	0.9507908612	0.1725916938
377	0.9507908612	0.1725463443
378	0.9507908612	0.1725283099
379	0.9507908612	0.1723030946
380	0.9507908612	0.1719545012
381	0.9507908612	0.1714406339
382	0.9507908612	0.1713065174
383	0.9507908612	0.1706842015
384	0.9507908612	0.1704507168
385	0.9507908612	0.1698621199
386	0.9507908612	0.1693469306
387	0.9507908612	0.1690215229
388	0.9507908612	0.1688467446
389	0.9507908612	0.1685505779
390	0.9507908612	0.168506331
391	0.9507908612	0.1682093573
392	0.9507908612	0.167930451
393	0.9507908612	0.1676861486
394	0.9507908612	0.1674336909
395	0.9507908612	0.167379157
396	0.9507908612	0.167350345
397	0.9507908612	0.166611535
398	0.9507908612	0.1662486686
399	0.9507908612	0.1659165659
400	0.9507908612	0.1656973386
401	0.9525483304	0.1648477973
402	0.9525483304	0.1645557852
403	0.9525483304	0.1645116526
404	0.9525483304	0.1641874727
405	0.9525483304	0.163724168
406	0.9525483304	0.1633335094
407	0.9525483304	0.1631888677
408	0.9525483304	0.1629265201
409	0.9507908612	0.1626059522
410	0.9507908612	0.1624622518
411	0.9507908612	0.1616736079
412	0.9507908612	0.1615679623
413	0.9507908612	0.1611876287
414	0.9507908612	0.161034105
415	0.9525483304	0.1602743598
416	0.9525483304	0.1598148253
417	0.9525483304	0.1597445911
418	0.9525483304	0.1592631186
419	0.9525483304	0.1588463439
420	0.9525483304	0.1583122959
421	0.9525483304	0.1582677852
422	0.9525483304	0.158037799
423	0.9525483304	0.157857465
424	0.9525483304	0.1577374389
425	0.9525483304	0.1574302891
426	0.9525483304	0.1574073675
427	0.9525483304	0.157170537
428	0.9525483304	0.1571657508
429	0.9525483304	0.1566475676
430	0.9525483304	0.1564748347
431	0.9525483304	0.1562868209
432	0.9525483304	0.155939352
433	0.9525483304	0.15576553
434	0.9525483304	0.1555787675
435	0.9525483304	0.1551311672
436	0.9525483304	0.1548795975
437	0.9525483304	0.1545916093
438	0.9543057996	0.1541829494
439	0.9543057996	0.1535332638
440	0.9543057996	0.153451738
441	0.9543057996	0.1533768693
442	0.9543057996	0.1533513473
443	0.9543057996	0.1532782137
444	0.9543057996	0.1530740801
445	0.9543057996	0.1526889103
446	0.9543057996	0.152518205
447	0.9543057996	0.15242188
448	0.9543057996	0.1522684052
449	0.9525483304	0.1521408454
450	0.9525483304	0.1519873157
451	0.9525483304	0.1519357968
452	0.9560632689	0.1515855171
453	0.9560632689	0.1515495805
454	0.9560632689	0.1514242543
455	0.9560632689	0.150781597
456	0.9560632689	0.150476341
457	0.9560632689	0.1502553677
458	0.9560632689	0.1498969698
459	0.9560632689	0.1496786634
460	0.9560632689	0.1489300716
461	0.9560632689	0.1488811693
462	0.9578207381	0.1487124302
463	0.9578207381	0.1485762983
464	0.9560632689	0.1483864283
465	0.9578207381	0.1482712183
466	0.9578207381	0.1481366198
467	0.9560632689	0.1478595646
468	0.9560632689	0.1478065058
469	0.9578207381	0.1473604961
470	0.9578207381	0.147343313
471	0.9560632689	0.1469715141
472	0.9578207381	0.1467144245
473	0.9578207381	0.1466958978
474	0.9560632689	0.1463915671
475	0.9560632689	0.1463672667
476	0.9560632689	0.1447336725
477	0.9578207381	0.1442276945
478	0.9578207381	0.144012728
479	0.9578207381	0.1438623531
480	0.9595782074	0.1434602812
481	0.9613356766	0.1430220451
482	0.9613356766	0.142777861
483	0.9648506151	0.1423274529
484	0.9648506151	0.1421829774
485	0.9648506151	0.142097009
486	0.9648506151	0.1418702773
487	0.9648506151	0.1415727759
488	0.9666080844	0.1412215693
489	0.9666080844	0.1412168255
490	0.9666080844	0.141205597
491	0.9666080844	0.1410992353
492	0.9666080844	0.1408933746
493	0.9666080844	0.1408300414
494	0.9666080844	0.1405214469
495	0.9666080844	0.1404036014
496	0.9666080844	0.1400585186
497	0.9666080844	0.1397881606
498	0.9666080844	0.1394654952
499	0.9666080844	0.1390692329
