iter	Passed	Remaining
299	6228	4152
300	6247	4130
301	6268	4109
302	6289	4088
303	6309	4067
304	6329	4046
305	6349	4025
306	6369	4004
307	6393	3985
308	6414	3964
309	6435	3944
310	6462	3927
311	6484	3907
312	6505	3886
313	6525	3865
314	6545	3844
315	6566	3823
316	6586	3802
317	6607	3781
318	6628	3760
319	6648	3739
320	6668	3718
321	6688	3697
322	6709	3676
323	6729	3655
324	6750	3634
325	6770	3613
326	6791	3592
327	6811	3572
328	6833	3551
329	6853	3530
330	6874	3509
331	6895	3489
332	6917	3469
333	6941	3449
334	6961	3428
335	6983	3408
336	7005	3388
337	7027	3368
338	7048	3347
339	7069	3326
340	7090	3306
341	7111	3285
342	7133	3265
343	7153	3243
344	7173	3222
345	7194	3202
346	7214	3181
347	7249	3166
348	7281	3150
349	7314	3134
350	7346	3118
351	7378	3102
352	7402	3082
353	7427	3063
354	7455	3045
355	7481	3026
356	7507	3007
357	7533	2988
358	7555	2967
359	7576	2946
360	7597	2925
361	7616	2903
362	7639	2883
363	7659	2861
364	7680	2840
365	7700	2819
366	7720	2798
367	7741	2776
368	7764	2756
369	7787	2736
370	7808	2715
371	7831	2694
372	7851	2673
373	7872	2652
374	7893	2631
375	7914	2610
376	7937	2589
377	7958	2568
378	7979	2547
379	8000	2526
380	8022	2505
381	8043	2484
382	8065	2463
383	8086	2442
384	8107	2421
385	8128	2400
386	8149	2379
387	8170	2358
388	8191	2337
389	8212	2316
390	8234	2295
391	8258	2275
392	8278	2253
393	8298	2232
394	8320	2211
395	8340	2190
396	8362	2169
397	8383	2148
398	8407	2128
399	8429	2107
400	8449	2086
401	8471	2065
402	8491	2043
403	8512	2022
404	8533	2001
405	8554	1980
406	8576	1959
407	8597	1938
408	8617	1917
409	8638	1896
410	8661	1875
411	8686	1855
412	8707	1834
413	8728	1813
414	8750	1792
415	8771	1771
416	8792	1750
417	8813	1728
418	8837	1708
419	8858	1687
420	8879	1666
421	8900	1645
422	8923	1624
423	8945	1603
424	8966	1582
425	8987	1561
426	9008	1540
427	9029	1518
428	9049	1497
429	9069	1476
430	9090	1455
431	9111	1434
432	9132	1413
433	9152	1391
434	9173	1370
435	9194	1349
436	9215	1328
437	9237	1307
438	9257	1286
439	9279	1265
440	9299	1244
441	9320	1223
442	9341	1201
443	9361	1180
444	9380	1159
445	9401	1138
446	9422	1117
447	9442	1096
448	9462	1074
449	9484	1053
450	9505	1032
451	9526	1011
452	9547	990
453	9567	969
454	9588	948
455	9608	927
456	9628	905
457	9648	884
458	9669	863
459	9689	842
460	9710	821
461	9731	800
462	9752	779
463	9772	758
464	9794	737
465	9814	716
466	9834	694
467	9855	673
468	9876	652
469	9898	631
470	9918	610
471	9939	589
472	9961	568
473	9982	547
474	10003	526
475	10023	505
476	10043	484
477	10064	463
478	10085	442
479	10105	421
480	10126	400
481	10147	378
482	10168	357
483	10188	336
484	10209	315
485	10229	294
486	10250	273
487	10271	252
488	10291	231
489	10312	210
490	10333	189
491	10354	168
492	10373	147
493	10393	126
494	10413	105
495	10437	84
496	10459	63
497	10480	42
498	10501	21
499	10521	0
